================================================================================
  ANÁLISIS LÉXICO - DART
  Proyecto: TokenMasters
================================================================================

 Archivo analizado: algoritmos_prueba/algoritmo_andres.dart
 Usuario Git: ivandresalin
 Fecha y hora: 12/11/2025 21:37:27

================================================================================
  TOKENS RECONOCIDOS
================================================================================

#      | TIPO                 | LÍNEA  | VALOR
--------------------------------------------------------------------------------
1      | IMPORT               | 3      | import
2      | STRING               | 3      | dart:async
3      | SHOW                 | 3      | show
4      | HIDE                 | 3      | hide
5      | SEMICOLON            | 3      | ;
6      | ABSTRACT             | 5      | abstract
7      | CLASS                | 5      | class
8      | ID                   | 5      | TestClass
9      | WITH                 | 5      | with
10     | ID                   | 5      | Mixin
11     | LBRACE               | 5      | {
12     | FINAL                | 6      | final
13     | ID                   | 6      | int
14     | ID                   | 6      | baseValue
15     | ASSIGN               | 6      | =
16     | NUMBER               | 6      | 100
17     | SEMICOLON            | 6      | ;
18     | ID                   | 7      | int
19     | QUESTION             | 7      | ?
20     | ID                   | 7      | count
21     | ASSIGN               | 7      | =
22     | NUMBER               | 7      | 1
23     | SEMICOLON            | 7      | ;
24     | VOID                 | 9      | void
25     | ID                   | 9      | testOperators
26     | LPAREN               | 9      | (
27     | VAR                  | 9      | var
28     | ID                   | 9      | a
29     | COMMA                | 9      | ,
30     | VAR                  | 9      | var
31     | ID                   | 9      | b
32     | RPAREN               | 9      | )
33     | LBRACE               | 9      | {
34     | IF                   | 10     | if
35     | LPAREN               | 10     | (
36     | ID                   | 10     | a
37     | IS                   | 10     | is
38     | NOT                  | 10     | !
39     | DYNAMIC_TYPE         | 10     | dynamic
40     | AND                  | 10     | &&
41     | ID                   | 10     | b
42     | EQUALS               | 10     | ==
43     | ID                   | 10     | baseValue
44     | RPAREN               | 10     | )
45     | LBRACE               | 10     | {
46     | ID                   | 11     | count
47     | INCREMENT            | 11     | ++
48     | SEMICOLON            | 11     | ;
49     | ID                   | 14     | a
50     | PLUSEQUAL            | 14     | +=
51     | NUMBER               | 14     | 5
52     | SEMICOLON            | 14     | ;
53     | IF                   | 15     | if
54     | LPAREN               | 15     | (
55     | ID                   | 15     | b
56     | NOTEQUAL             | 15     | !=
57     | NULL                 | 15     | null
58     | OR                   | 15     | ||
59     | ID                   | 15     | a
60     | LESSTHAN             | 15     | <
61     | NUMBER               | 15     | 10
62     | RPAREN               | 15     | )
63     | LBRACE               | 15     | {
64     | ID                   | 16     | b
65     | ASSIGN               | 16     | =
66     | ID                   | 16     | a
67     | SHIFT_RIGHT          | 16     | >>
